PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
EGFR	interacts-with	GRB2	NetPath	12577067;14498832;17991782;19509291;19531065;19531499;20032199;7518560	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_5d741c8cf90b42945d3167b30af2864d;http://pathwaycommons.org/pc2/MolecularInteraction_9970a702130b97f8eac0b25f611acb85;http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998;http://pathwaycommons.org/pc2/MolecularInteraction_a62669932364fdf5753f5830e5610915
EGFR	interacts-with	HIST3H3	NetPath	12577067	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998
EGFR	interacts-with	HTT	NetPath	9079622	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_f5e3a78223cacb9d6ddfcbf131fcd86c
EGFR	interacts-with	IL17RD	NetPath	18096367	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_8c27b17edd18ed8aecfc28c27bb26eed
EGFR	interacts-with	INPPL1	NetPath	11349134;19770167	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_95831ac79f56894aeda40285e3ddee86
EGFR	interacts-with	IQGAP1	NetPath	12577067	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998
EGFR	interacts-with	ITGA6	NetPath	11684709	Alpha6Beta4Integrin	http://pathwaycommons.org/pc2/MolecularInteraction_f3371bd6f523ba20d78a11852c6fe57c
EGFR	interacts-with	ITGB4	NetPath	11684709	Alpha6Beta4Integrin	http://pathwaycommons.org/pc2/MolecularInteraction_f3371bd6f523ba20d78a11852c6fe57c
EGFR	controls-phosphorylation-of	JAK1	NetPath	8524316	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_fc35259c5d8286986815ba196d3bb36a;http://pathwaycommons.org/pc2/Catalysis_624019e32c113074046230c3bb4182ca
EGFR	controls-state-change-of	JAK1	NetPath	8524316	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_fc35259c5d8286986815ba196d3bb36a;http://pathwaycommons.org/pc2/Catalysis_624019e32c113074046230c3bb4182ca
EGFR	controls-phosphorylation-of	JAK2	NetPath	10585878	EGFR1	http://pathwaycommons.org/pc2/Catalysis_5b1dad0a705ee190812e94b71048dd13;http://pathwaycommons.org/pc2/BiochemicalReaction_29e8d020acbbab98558a10cc5b139d14
EGFR	controls-state-change-of	JAK2	NetPath	10585878	EGFR1	http://pathwaycommons.org/pc2/Catalysis_5b1dad0a705ee190812e94b71048dd13;http://pathwaycommons.org/pc2/BiochemicalReaction_29e8d020acbbab98558a10cc5b139d14
EGFR	interacts-with	KRT17	NetPath	12577067	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_57b683e0d308598f173c66f50a6080ba;http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998
EGFR	interacts-with	KRT18	NetPath	12577067	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_7319dd446de7b97c6384327f7810c7a6;http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998
EGFR	interacts-with	KRT7	NetPath	12577067	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998;http://pathwaycommons.org/pc2/MolecularInteraction_1f3718fc56dc91d332cf87b1207c2125
EGFR	interacts-with	KRT8	NetPath	12577067	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_d50e0dfc0e907df84249475eee4921f8;http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998
EGFR	interacts-with	MAP2K1	NetPath	12556561	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_d777d9ccd1ef41036ac2eef13d36d330
EGFR	interacts-with	MAP3K14	NetPath	11116146	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_eabda0fdd94574f043fadf2ffb9df429;http://pathwaycommons.org/pc2/MolecularInteraction_314ee4be246a48821e4a8a9745d3501e
EGFR	interacts-with	MAPK1	NetPath	12556561;14612544	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_8ae8a8042fd8f5c7cffd352c1932444f
EGFR	interacts-with	MPRIP	NetPath	12577067	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998
EGFR	interacts-with	MT-CO2	NetPath	19531499	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_5d741c8cf90b42945d3167b30af2864d
EGFR	interacts-with	NCK1	NetPath	1333047;9843575	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_9b396db530277233d3ed89764efb5a47
EGFR	interacts-with	NCK2	NetPath	9737977;9843575	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_cdde6e7e68cf29cd9bb1e2c229b672f2
EGFR	interacts-with	PAK1	NetPath	10954714;12522133	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_f9f698ccefc97cf0e478edee5ca8570b
EGFR	interacts-with	PDPK1	NetPath	18662999	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_4de418fced1b6c5e6eac15dd5a200c5b
EGFR	interacts-with	PIK3C2B	NetPath	11533253	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_de2f3b3ca6eb06e663d601a9d39daf86
EGFR	interacts-with	PIK3R1	NetPath	19531499	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_5d741c8cf90b42945d3167b30af2864d
EGFR	interacts-with	PIK3R2	NetPath	19531499	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_5d741c8cf90b42945d3167b30af2864d
EGFR	interacts-with	PITPNA	NetPath	7761838	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_615f542b3fadd3e7adf4d79a3b74612c
EGFR	controls-phosphorylation-of	PLCG1	NetPath	14500405;1730638;7926042	EGFR1	http://pathwaycommons.org/pc2/Catalysis_c250447b083a4541ffa2bfa73aa4ee50;http://pathwaycommons.org/pc2/BiochemicalReaction_6a513aa740e1f84ba4c56272d0b11469
EGFR	controls-state-change-of	PLCG1	NetPath	14500405;1730638;7926042	EGFR1	http://pathwaycommons.org/pc2/Catalysis_c250447b083a4541ffa2bfa73aa4ee50;http://pathwaycommons.org/pc2/BiochemicalReaction_6a513aa740e1f84ba4c56272d0b11469
EGFR	interacts-with	PLCG1	NetPath	7805859	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_0ebc453d20b38d959d6decc96eaa4a9c
EGFR	interacts-with	PLD1	NetPath	11459228	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_f9677c6b3978971322f465ad1c6bbccc
EGFR	controls-phosphorylation-of	PLD2	NetPath	11459228;9837959	EGFR1	http://pathwaycommons.org/pc2/Catalysis_590ff48aa5929297ce1248538e6fbbaf;http://pathwaycommons.org/pc2/BiochemicalReaction_ec3aaff88a23817f1346c6832c398dc3
EGFR	controls-state-change-of	PLD2	NetPath	11459228;9837959	EGFR1	http://pathwaycommons.org/pc2/Catalysis_590ff48aa5929297ce1248538e6fbbaf;http://pathwaycommons.org/pc2/BiochemicalReaction_ec3aaff88a23817f1346c6832c398dc3
EGFR	interacts-with	PLD2	NetPath	9837959	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_5efd45221603088c5c5750fa70670bfc
EGFR	interacts-with	PLEC	NetPath	12577067	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_7f12bbb830320c4383db3404fe6fc751;http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998
EGFR	interacts-with	PLSCR1	NetPath	12009895;12871937	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_10056232d96f6286614c1170c2cfee7e
EGFR	interacts-with	PPP2R3A	NetPath	19825976	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_cb0b400fa51bc7c9a0058327e169a429
EGFR	interacts-with	PRKAR1A	NetPath	9050991	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_8e2579442ed261588a801e8f6fd8e16b
EGFR	interacts-with	PRKCA	NetPath	12878187	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_52db41b58be97ca5acf0647d4d64b23a
EGFR	in-complex-with	PRKCD	NetPath			http://pathwaycommons.org/pc2/Complex_2d37dc44da8d254f30d6f5e371da2c79
EGFR	in-complex-with	PTK2	NetPath			http://pathwaycommons.org/pc2/Complex_660caaa31247d6cfa36d33ae87a8ad89
EGFR	interacts-with	PTK6	NetPath	8940083	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_8018e41c2ecf545a39954a536e714c76
EGFR	interacts-with	PTPN11	NetPath	12577067;17395158;7673163	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998;http://pathwaycommons.org/pc2/MolecularInteraction_ff52cf468fe0ae787cd1f43790154f48
EGFR	interacts-with	PTPN1	NetPath	18253097;9050838	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_c44ed6eebf096113e05fc52944084742
EGFR	controls-phosphorylation-of	PTPN6	NetPath	7518460	EGFR1	http://pathwaycommons.org/pc2/Catalysis_b91c0f17ece16e7bdb8e37c9298170b7;http://pathwaycommons.org/pc2/BiochemicalReaction_fc414d435032432a142e8a6b6e7f3a84
EGFR	controls-state-change-of	PTPN6	NetPath	7518460	EGFR1	http://pathwaycommons.org/pc2/Catalysis_b91c0f17ece16e7bdb8e37c9298170b7;http://pathwaycommons.org/pc2/BiochemicalReaction_fc414d435032432a142e8a6b6e7f3a84
EGFR	interacts-with	PTPN6	NetPath	7673163	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_e18c509bb543fa989f2d4618e4706991
EGFR	interacts-with	RACGAP1	NetPath	12577067	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998
EGFR	controls-phosphorylation-of	RASA1	NetPath	1633149;1850098	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_33ed296ba782fb7bdebbb30a4f9ffc96;http://pathwaycommons.org/pc2/Catalysis_861886b1efee7e87c074c426e0392d5e
EGFR	controls-state-change-of	RASA1	NetPath	1633149;1850098	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_33ed296ba782fb7bdebbb30a4f9ffc96;http://pathwaycommons.org/pc2/Catalysis_861886b1efee7e87c074c426e0392d5e
EGFR	interacts-with	RASA1	NetPath	1633149;1850098	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_89311566d41811de2118e9fa87647a13
EGFR	controls-phosphorylation-of	RGS16	NetPath	11602604	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_a7f85b878daf5bed85bb27285577dc40;http://pathwaycommons.org/pc2/Catalysis_fa06416b12919ec5e22732f32f088b4a
EGFR	controls-state-change-of	RGS16	NetPath	11602604	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_a7f85b878daf5bed85bb27285577dc40;http://pathwaycommons.org/pc2/Catalysis_fa06416b12919ec5e22732f32f088b4a
EGFR	interacts-with	RGS16	NetPath	11602604;12588871	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_3fa4ff3fce3e1eed8ec1850883ec16e2
EGFR	interacts-with	RIPK1	NetPath	11116146	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_eabda0fdd94574f043fadf2ffb9df429;http://pathwaycommons.org/pc2/MolecularInteraction_81951f3e4222bd59f41f0d99b16f1793
EGFR	interacts-with	SH3BGRL	NetPath	16729043	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_83ecfea66deba036a231051d095a6de4
EGFR	controls-phosphorylation-of	SHC1	NetPath	1623525	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_512a038736c9742db9b7cebbb89028a6;http://pathwaycommons.org/pc2/Catalysis_c724b6d0c45e888d22ee5cdeaf76fbf6
EGFR	controls-state-change-of	SHC1	NetPath	1623525	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_512a038736c9742db9b7cebbb89028a6;http://pathwaycommons.org/pc2/Catalysis_c724b6d0c45e888d22ee5cdeaf76fbf6
EGFR	interacts-with	SHC1	NetPath	12577067;17956904;19531499;8702728;9544989	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_5d741c8cf90b42945d3167b30af2864d;http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998;http://pathwaycommons.org/pc2/MolecularInteraction_6a3668a5cbddb887e35bffe7ac0c768a;http://pathwaycommons.org/pc2/MolecularInteraction_8d7a5447b022e7d4c4e620af5447d38b
EGFR	interacts-with	SMU1	NetPath	12577067	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998
EGFR	interacts-with	SNRPD2	NetPath	12577067;19531499	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_5d741c8cf90b42945d3167b30af2864d;http://pathwaycommons.org/pc2/MolecularInteraction_78fe54db234620cbdac2d9136ed695cc;http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998
EGFR	interacts-with	SOCS1	NetPath	12070153	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_e127d79a223bbc8581f350539e7f4c36
EGFR	interacts-with	SOCS3	NetPath	12070153	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_8a6903a68626411d7d82b3c8c2b9f6f7
EGFR	interacts-with	SOS1	NetPath	12577067;19531499	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_5d741c8cf90b42945d3167b30af2864d;http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998
EGFR	interacts-with	SOS2	NetPath	19531499	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_5d741c8cf90b42945d3167b30af2864d
EGFR	in-complex-with	SRC	NetPath			http://pathwaycommons.org/pc2/Complex_660caaa31247d6cfa36d33ae87a8ad89
EGFR	interacts-with	SRC	NetPath	10075741;18448311	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_3a66595166076666bbe87c55f6c8e34c
EGFR	interacts-with	STAMBP	NetPath	15314065	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_ca48c456550a1b876f5760cf9793efbd
EGFR	controls-phosphorylation-of	STAT1	NetPath	12070153;7657660	EGFR1	http://pathwaycommons.org/pc2/Catalysis_fb93f5bfc1c2504d170ae06d767a3667;http://pathwaycommons.org/pc2/BiochemicalReaction_0e3fcf09649144d4884a9f220e7761ad
EGFR	controls-state-change-of	STAT1	NetPath	12070153;7657660	EGFR1	http://pathwaycommons.org/pc2/Catalysis_fb93f5bfc1c2504d170ae06d767a3667;http://pathwaycommons.org/pc2/BiochemicalReaction_0e3fcf09649144d4884a9f220e7761ad
EGFR	interacts-with	STAT1	NetPath	12070153;8524316	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_1d2c09283e9cf708a38a4b3cf927b7e9
EGFR	controls-phosphorylation-of	STAT3	NetPath	12070153	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_5763f59f5f6930019f293df57b819285;http://pathwaycommons.org/pc2/Catalysis_d2a0aa602d13a93babd256714294112d
EGFR	controls-state-change-of	STAT3	NetPath	12070153	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_5763f59f5f6930019f293df57b819285;http://pathwaycommons.org/pc2/Catalysis_d2a0aa602d13a93babd256714294112d
EGFR	interacts-with	STAT3	NetPath	14498832;15950906;20032199	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_9d023f232daa645bfe5dd2c9f81f0003;http://pathwaycommons.org/pc2/MolecularInteraction_eeac829ceb4f40f15d499e4cda87b933
EGFR	interacts-with	STAT5A	NetPath	10358079;16729043	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_f0a74b64137ec7290ae6e9c9c91c0ba5
EGFR	controls-phosphorylation-of	STAT5B	NetPath	11751923	EGFR1	http://pathwaycommons.org/pc2/Catalysis_3993590dee16f5e32b53af2975f276b4;http://pathwaycommons.org/pc2/BiochemicalReaction_71c4b795c7d25815602f3c96e91119b2
EGFR	controls-state-change-of	STAT5B	NetPath	11751923	EGFR1	http://pathwaycommons.org/pc2/Catalysis_3993590dee16f5e32b53af2975f276b4;http://pathwaycommons.org/pc2/BiochemicalReaction_71c4b795c7d25815602f3c96e91119b2
EGFR	interacts-with	STAT5B	NetPath	10558875;16729043	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_66fb8c7aa4aabd52f0b141369b1322e7
EGFR	interacts-with	TNK2	NetPath	17182860;18262180	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_07c35b25beb8c387832fe28d5f16a41a
EGFR	interacts-with	UBB	NetPath	19531499	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_5d741c8cf90b42945d3167b30af2864d
EGFR	interacts-with	VAV1	NetPath	10938113	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_a35e9f6599a505a8510d20c763bd523e
EGFR	controls-phosphorylation-of	VAV2	NetPath	10618391;12454019	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_450b8bce789bf5ef8887551188d360c2;http://pathwaycommons.org/pc2/Catalysis_aba4a262e6be9ded72dc293c3f7bbe89
EGFR	controls-state-change-of	VAV2	NetPath	10618391;12454019	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_450b8bce789bf5ef8887551188d360c2;http://pathwaycommons.org/pc2/Catalysis_aba4a262e6be9ded72dc293c3f7bbe89
EGFR	interacts-with	VAV2	NetPath	10618391;10938113;12577067;19531499	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_5d741c8cf90b42945d3167b30af2864d;http://pathwaycommons.org/pc2/MolecularInteraction_d0931b90a73c29031a76063597f10d11;http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998
EGFR	interacts-with	VAV3	NetPath	10938113;12577067	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_add5aed7f8c1bfacad0e9ab82f666998;http://pathwaycommons.org/pc2/MolecularInteraction_b0fd918bba809c8245ac9e390b66d6fb
EGFR	interacts-with	YWHAZ	NetPath	19531499	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_5d741c8cf90b42945d3167b30af2864d
EGF	in-complex-with	SHC1	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
EGF	in-complex-with	SNRPD2	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
EGF	in-complex-with	SOS1	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
EGF	in-complex-with	SOS2	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
EGF	in-complex-with	UBB	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
EGF	in-complex-with	VAV2	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
EGF	in-complex-with	YWHAZ	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
EGR1	interacts-with	NFATC1	NetPath	19915002	TCR	http://pathwaycommons.org/pc2/MolecularInteraction_95a60d5bc93c30a0008b45656d7ed03c
EGR1	interacts-with	NFATC2	NetPath	19915002	TCR	http://pathwaycommons.org/pc2/MolecularInteraction_95a60d5bc93c30a0008b45656d7ed03c
EGR1	interacts-with	RELA	NetPath	19915002	TCR	http://pathwaycommons.org/pc2/MolecularInteraction_95a60d5bc93c30a0008b45656d7ed03c
EID2	interacts-with	SMAD2	NetPath	14612439	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_5345a793b7d53814113a154207deba70
EID2	interacts-with	SMAD3	NetPath	14612439	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_a6d430e8805ba6aab405f681bab6cfbd
EID2	interacts-with	SMAD4	NetPath	14612439	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_e5b13c37ac081546efe73f99239577a3
EIF3B	interacts-with	IL2RB	NetPath	7693677	IL2	http://pathwaycommons.org/pc2/MolecularInteraction_129e42bdcd38fc88c85451f0ff0ce7ba
EIF3I	interacts-with	TGFBR1	NetPath	7566156	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_b84ff7cea54659ac9c811231f257085e
EIF3I	interacts-with	TGFBR2	NetPath	7566156	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_d8a877066789bdf99946b6a32cffc4eb;http://pathwaycommons.org/pc2/MolecularInteraction_b84ff7cea54659ac9c811231f257085e
EIF4EBP1	interacts-with	PPP2CA	NetPath	16899564	Prolactin	http://pathwaycommons.org/pc2/MolecularInteraction_200659e5c34ac39adf0484e8a3f27619
EIF4E	interacts-with	EIF4EBP1	NetPath	12105188	Alpha6Beta4Integrin	http://pathwaycommons.org/pc2/MolecularInteraction_5a3da01f7e1f33c9eec5471c445db3e8
EIF6	interacts-with	ITGB4	NetPath	9374518	Alpha6Beta4Integrin	http://pathwaycommons.org/pc2/MolecularInteraction_49825b80311ea586e02ece3450582b79
ELK1	interacts-with	ID1	NetPath	10022839;11134340	ID	http://pathwaycommons.org/pc2/MolecularInteraction_36e3c8089e25d9f7b2ceeddb6cf12d6a
ELK1	interacts-with	ID2	NetPath	10022839	ID	http://pathwaycommons.org/pc2/MolecularInteraction_8aef762326148f01295a1399636438a5
ELK1	interacts-with	ID3	NetPath	10022839;11134340	ID	http://pathwaycommons.org/pc2/MolecularInteraction_dbe0cfe07e5eb77fa782e00d6a235f5d
ELK1	interacts-with	MAPK1	NetPath	11279280;8586671	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_b87c923f3ca9c92973b6d6ccf5aea77b
ELK1	interacts-with	MAPK3	NetPath	8586671	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_d0a67136013b459bf3bba710444fcfc1
ELK3	interacts-with	ID2	NetPath	10022839	ID	http://pathwaycommons.org/pc2/MolecularInteraction_20476a18c1d54bb18f3b1d5aa2ef768a
ELK4	interacts-with	ID1	NetPath	10022839;11058077	ID	http://pathwaycommons.org/pc2/MolecularInteraction_c3a1467d0fcb463c2ea114ebbad3b206
ELK4	interacts-with	ID2	NetPath	11134340	ID	http://pathwaycommons.org/pc2/MolecularInteraction_e9b260c2760f56ac4c0702fd806711b9
ELK4	interacts-with	ID3	NetPath	10022839	ID	http://pathwaycommons.org/pc2/MolecularInteraction_5c71370c2133d6e9234031e0847123c4
ENAH	interacts-with	FYB	NetPath	10747096	TCR	http://pathwaycommons.org/pc2/MolecularInteraction_b538f3277245ed7697e50047da0f6124
ENG	interacts-with	TGFBR1	NetPath	12015308;18974388	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_bbbacb195344d6168d3611d51f53aa40
ENG	interacts-with	TGFBR2	NetPath	9872992	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_8a33acaa635a819023eb4bcb1608ffcd
EP300	controls-state-change-of	AR	NetPath	10779504;11971970	AndrogenReceptor	http://pathwaycommons.org/pc2/BiochemicalReaction_3113f79069e11ab6f9613acd973dca56;http://pathwaycommons.org/pc2/Catalysis_492d0724d3a1a7b3a482c85bf62a5369
EP300	controls-state-change-of	HIST2H3A	NetPath	11509556	IL4	http://pathwaycommons.org/pc2/Catalysis_7e2648cdefe726757179cb3835e6f9ef;http://pathwaycommons.org/pc2/BiochemicalReaction_be8c16ff78fe72f694225aa7fb74e334
EP300	controls-state-change-of	HIST2H3C	NetPath	11509556	IL4	http://pathwaycommons.org/pc2/Catalysis_7e2648cdefe726757179cb3835e6f9ef;http://pathwaycommons.org/pc2/BiochemicalReaction_be8c16ff78fe72f694225aa7fb74e334
EP300	controls-state-change-of	HIST2H3D	NetPath	11509556	IL4	http://pathwaycommons.org/pc2/Catalysis_7e2648cdefe726757179cb3835e6f9ef;http://pathwaycommons.org/pc2/BiochemicalReaction_be8c16ff78fe72f694225aa7fb74e334
EP300	in-complex-with	KAT2B	NetPath			http://pathwaycommons.org/pc2/Complex_f8e5b016550b017125eef7e0ee9b6476
EP300	interacts-with	MITF	NetPath	9660747	KitReceptor	http://pathwaycommons.org/pc2/MolecularInteraction_472623887b18096b9b66835e6b3b29cf
EP300	interacts-with	NCOA1	NetPath	15688032	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_496b378bc5fe72617f065d79dbddb16c
EP300	in-complex-with	NCOA3	NetPath			http://pathwaycommons.org/pc2/Complex_44f0e002f1ccfea889e1f9fd54cc46a8
EP300	interacts-with	NOTCH1	NetPath	11604511;14500836	Notch	http://pathwaycommons.org/pc2/MolecularInteraction_13be6b9c8b88d376b513afbbba655640;http://pathwaycommons.org/pc2/MolecularInteraction_8dd999c8031d2d88a5afd3e5f3a07904
EP300	in-complex-with	RELA	NetPath			http://pathwaycommons.org/pc2/Complex_f296f2dd5d1d05e2bc3274db4907740a
EP300	interacts-with	RELA	NetPath	17617622	Leptin	http://pathwaycommons.org/pc2/MolecularInteraction_4b302a65ccd752c73dee7ce3eb58a9a5
EP300	interacts-with	SKIL	NetPath	17469184	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_e4e8c80f19a69d660f020c741075529d
EP300	interacts-with	SKI	NetPath	17469184	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_e4e8c80f19a69d660f020c741075529d
EP300	in-complex-with	SMAD1	NetPath			http://pathwaycommons.org/pc2/Complex_f8e5b016550b017125eef7e0ee9b6476
EP300	controls-state-change-of	SMAD2	NetPath	17074756	TGF_beta_Receptor	http://pathwaycommons.org/pc2/Catalysis_ac6edb689be53e4c0803bcffaf5a7a3b;http://pathwaycommons.org/pc2/BiochemicalReaction_ced4dcadded0183751f52d6e4e00c6a8
EP300	interacts-with	SMAD2	NetPath	10199400	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_b98bd7c826116b19bd3d820944d8a2cc
EP300	controls-state-change-of	SMAD3	NetPath	17074756	TGF_beta_Receptor	http://pathwaycommons.org/pc2/Catalysis_f8751ad85c0c935bcdb8f045ee938c72;http://pathwaycommons.org/pc2/BiochemicalReaction_fa7194e3966e01c8b2b21654a1701394
EP300	in-complex-with	SMAD3	NetPath			http://pathwaycommons.org/pc2/Complex_ce4bda5d9b54abae21d0ae1a436e5fd2
EP300	interacts-with	SMAD3	NetPath	11359933;11919190;15133024;16319104;17469184;9679056;9843571	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_03eaa23c73391e95d80d0746784e81bf
EP300	interacts-with	SMAD4	NetPath	9843571	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_3b508ffdbc5c6eecfc02bf644502b8f1
EP300	interacts-with	SMAD7	NetPath	12408818	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_7f194ac6e636fb50b2cd6e87403b559e
EP300	interacts-with	SNIP1	NetPath	10887155	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_5698ec490586518d18c91388a47772ab
EP300	controls-state-change-of	STAT3	NetPath	16285960	IL6	http://pathwaycommons.org/pc2/BiochemicalReaction_4945e85dd7bcae0f6574595f879f13ef;http://pathwaycommons.org/pc2/Catalysis_b9032a4c2f82256fe946f7616b265860
