Interaction ID	Uniprot1	Uniprot2	Name1	Name2	Entrez1	Entrez2	Ensembl1	Ensembl2	Method	Source	Pubmed ID	Method score	Annotation score	Total score	Confidence	Type	Pathway
283103.html	Q9UQC2	P62993	GAB2	GRB2	9846	2885	ENST00000340149 [Q9UQC2-2];ENST00000361507 [Q9UQC2-1]	ENST00000316615 [P62993-2];ENST00000316804 [P62993-1];ENST00000392562 [P62993-1];ENST00000392563 [P62993-2];ENST00000392564 [P62993-1]	direct interaction;physical association;association	intact	10068651;10913131;19172738;unassigned1304;21706016;10391903;16253990;25416956;15143164;19380743;11782427;11882361;19523899;20936779	0.9696	1	0.984682690007294	High	Small-scale	hsa04014;hsa05220
359805.html	Q9ULZ3	Q96P20	PYCARD	NLRP3	29108	114548	ENST00000247470 [Q9ULZ3-1];ENST00000350605 [Q9ULZ3-2]	ENST00000336119 [Q96P20-1];ENST00000348069 [Q96P20-2];ENST00000366496 [Q96P20-5];ENST00000366497 [Q96P20-5];ENST00000391827 [Q96P20-4];ENST00000391828 [Q96P20-1]	direct interaction;physical association	intact	24630722;11786556;19158675;15020601	0.78855	1	0.888003378371952	High	Small-scale	hsa04621
476554.html	Q13415	P49736	ORC1	MCM2	4998	4171	ENST00000371566;ENST00000371568	ENST00000265056	direct interaction	biogrid	12614612	0.38507	0.6	0.48066828478692	High	Small-scale	hsa04110
425382.html	P42574	P10415	CASP3	BCL2	836	596	ENST00000308394;ENST00000523916	ENST00000333681 [P10415-1];ENST00000398117 [P10415-1];ENST00000589955 [P10415-2]	direct interaction	biogrid	9395403;11948397;11752215	0.62067	0.6	0.610247490777308	High	Small-scale	hsa04933
437645.html	Q14738	B5BUA4	PPP2R5D	SGOL1	5528	151648	ENST00000394110 [Q14738-2];ENST00000461010 [Q14738-3];ENST00000485511 [Q14738-1]		direct interaction	hprd	16541025;16541024	0.56831	0.6	0.583940065417676	High	Small-scale	hsa04114
257486.html	P10415	P45983	BCL2	MAPK8	596	5599	ENST00000333681 [P10415-1];ENST00000398117 [P10415-1];ENST00000589955 [P10415-2]	ENST00000360332 [P45983-5];ENST00000374176 [P45983-4];ENST00000374179 [P45983-3];ENST00000374182 [P45983-2];ENST00000374189 [P45983-1];ENST00000395611 [P45983-4]	phosphorylation reaction;direct interaction	intact	15733859;10567572;12039864;15225643	0.68985	0.6	0.643358376023815	High	Small-scale	hsa04210;hsa04933
526532.html	P45984	Q9UQF2	MAPK9	MAPK8IP1	5601	9479	ENST00000343111 [P45984-3];ENST00000393360 [P45984-2];ENST00000425491 [P45984-5];ENST00000452135 [P45984-1];ENST00000455781 [P45984-4]	ENST00000241014	direct interaction;physical association	biogrid	15998799;10490659;9733513	0.73503	0.6	0.664091861115614	High	Small-scale	hsa04010
395930.html	P27694	Q9H9A7	RPA1	RMI1	6117	80010	ENST00000254719	ENST00000325875	physical association;association	intact	24126761;24332808;15775963	0.64849	0.55	0.597218134352935	High	Small-scale	hsa03460
409351.html	P63000	Q13177	RAC1	PAK2	5879	5062	ENST00000348035 [P63000-1];ENST00000356142 [P63000-2]	ENST00000327134	direct interaction;physical association	intact	22705156;20696164;19264842;20936779;9535855	0.8565	1	0.925472852113988	High	Small-scale	hsa04010;hsa04014;hsa04360;hsa04510;hsa04810;hsa05211
424519.html	P29320	P52797	EPHA3	EFNA3	2042	1944	ENST00000336596 [P29320-1];ENST00000452448 [P29320-2]	ENST00000368408 [P52797-1]	direct interaction	biogrid	9195962	0.41838	1	0.646823005156743	High	Small-scale	hsa04360
223912.html	P10321	P01732	HLA-C	CD8A	3107	925	ENST00000376228	ENST00000283635 [P01732-1];ENST00000352580 [P01732-2];ENST00000409511 [P01732-1]	direct interaction	biogrid	10809759	0.41838	1	0.646823005156743	High	Small-scale	hsa04514
522167.html	P32881	P17181	IFNA8	IFNAR1	3445	3454	ENST00000380205	ENST00000270139 [P17181-1]	physical association	dip	7592797	0.3819	1	0.617980582219215	High	Small-scale	hsa04060;hsa04151;hsa04621;hsa04630;hsa04650;hsa05160;hsa05161;hsa05162;hsa05168
272703.html	P05067	P04406	APP	GAPDH	351	2597	ENST00000346798 [P05067-1];ENST00000348990 [P05067-4];ENST00000354192 [P05067-10];ENST00000357903 [P05067-8];ENST00000358918 [P05067-9];ENST00000440126 [P05067-11]	ENST00000229239 [P04406-1];ENST00000396858 [P04406-2];ENST00000396859 [P04406-1];ENST00000396861 [P04406-1];ENST00000619601 [P04406-2]	direct interaction	biogrid	21244100;21832049	0.60481	0.55	0.576754280434918	High	High-throughput	hsa05010
379804.html	P21860	O60674	ERBB3	JAK2	2065	3717	ENST00000267101 [P21860-1];ENST00000411731 [P21860-2];ENST00000415288 [P21860-4];ENST00000551242 [P21860-3]	ENST00000381652	direct interaction	intact	16273093	0.42254	1	0.650030768502538	High	High-throughput	hsa01521
327662.html	O00238	Q13873	BMPR1B	BMPR2	658	659	ENST00000264568 [O00238-1];ENST00000394931 [O00238-1];ENST00000440890 [O00238-2];ENST00000509540 [O00238-1];ENST00000512312 [O00238-1];ENST00000515059 [O00238-1]	ENST00000374574 [Q13873-2];ENST00000374580 [Q13873-1]	direct interaction;physical association	biogrid	7791754;10712517	0.61657	1	0.785219714474872	High	Small-scale	hsa04360
106324.html	P00533	P36507	EGFR	MAP2K2	1956	5605	ENST00000275493 [P00533-1];ENST00000342916 [P00533-4];ENST00000344576 [P00533-3];ENST00000420316 [P00533-2]	ENST00000262948	physical association	biogrid	24797263	0.3819	0.9	0.586267856870902	High	High-throughput	hsa04066
15094.html	P27986	Q99490	PIK3R1	AGAP2	5295	116986	ENST00000320694 [P27986-3];ENST00000336483 [P27986-2];ENST00000521381 [P27986-1];ENST00000521657 [P27986-1];ENST00000523872 [P27986-5]	ENST00000257897 [Q99490-2]	direct interaction;physical association	biogrid	11136977	0.52419	1	0.72400966844373	High	Small-scale	hsa04068
346101.html	P14635	Q12778	CCNB1	FOXO1	891	2308	ENST00000256442 [P14635-1];ENST00000505500 [P14635-2]	ENST00000379561	physical association	intact	25241761	0.3819	0.6	0.478685700642917	High	High-throughput	hsa04068
143630.html	Q02487	Q02487	DSC2	DSC2	1824	1824	ENST00000251081 [Q02487-2];ENST00000280904 [Q02487-1]	ENST00000251081 [Q02487-2];ENST00000280904 [Q02487-1]	direct interaction	hprd	11790773	0.38507	1	0.620540087343275	High	Small-scale	hsa05412
132561.html	P07900	Q9Y243	HSP90AA1	AKT3	3320	10000	ENST00000216281 [P07900-1];ENST00000334701 [P07900-2]	ENST00000263826 [Q9Y243-1];ENST00000336199 [Q9Y243-2];ENST00000366539 [Q9Y243-1];ENST00000366540 [Q9Y243-2];ENST00000613395 [Q9Y243-2];ENST00000619536 [Q9Y243-2];ENST00000621586 [Q9Y243-1]	physical association	intact	25036637	0.3819	1	0.617980582219215	High	High-throughput	hsa04151
443002.html	P08581	P19174	MET	PLCG1	4233	5335	ENST00000318493 [P08581-2];ENST00000397752 [P08581-1];ENST00000436117 [P08581-3]	ENST00000244007 [P19174-2];ENST00000373271 [P19174-1]	direct interaction	intact	24728074	0.41838	1	0.646823005156743	High	High-throughput	hsa01521
173344.html	P28482	P05412	MAPK1	JUN	5594	3725	ENST00000215832 [P28482-1];ENST00000398822 [P28482-1];ENST00000544786 [P28482-2]	ENST00000371222	direct interaction;physical association;association	intact	10419510;1922387;11431474;25609649	0.77674	0.6	0.682674153604778	High	Small-scale	hsa01522;hsa04620;hsa04621;hsa04660;hsa04662;hsa04921;hsa04933;hsa05132;hsa05133;hsa05140;hsa05142;hsa05200;hsa05210;hsa05211
434101.html	Q96Q15	Q92900	SMG1	UPF1	23049	5976	ENST00000446231 [Q96Q15-1]	ENST00000262803 [Q92900-2];ENST00000599848 [Q92900-1]	direct interaction;physical association;association	intact	11544179;20371770;18256688;19417104;11331269;18423202;16452507	0.95698	0.6	0.757751938301711	High	Small-scale	hsa03015
347388.html	P05161	O95786	ISG15	DDX58	9636	23586	ENST00000379389	ENST00000379883 [O95786-1]	physical association	biogrid	16009940	0.3819	1	0.617980582219215	High	High-throughput	hsa04622
7447.html	P11362	P05230	FGFR1	FGF1	2260	2246	ENST00000326324 [P11362-14];ENST00000335922 [P11362-20];ENST00000356207 [P11362-3];ENST00000397091 [P11362-7];ENST00000397108 [P11362-7];ENST00000397113 [P11362-7];ENST00000425967 [P11362-21];ENST00000447712 [P11362-1];ENST00000484370 [P11362-15];ENST00000532791 [P11362-2]	ENST00000337706 [P05230-1];ENST00000359370 [P05230-1];ENST00000360966 [P05230-2];ENST00000378046 [P05230-1];ENST00000419524 [P05230-1];ENST00000441680 [P05230-1];ENST00000610990 [P05230-1];ENST00000612258 [P05230-1];ENST00000619447 [P05230-1];ENST00000621536 [P05230-1]	direct interaction;physical association;association	intact	1722683;7730326;22244757;10336501;11032250;8576175;18441324;10830168;11030354;25241761	0.93517	1	0.967041881202671	High	Small-scale	hsa04010;hsa04014;hsa04015;hsa04151;hsa05200;hsa05218;hsa05224
433822.html	Q13489	Q13114	BIRC3	TRAF3	330	7187	ENST00000263464;ENST00000532808;ENST00000615299	ENST00000392745 [Q13114-1];ENST00000539721 [Q13114-2];ENST00000560371 [Q13114-1]	direct interaction;physical association;association	intact	23524849;23612708;20097753	0.72682	0.6	0.66037262208544	High	Small-scale	hsa04064
144759.html	F7VJQ1	P11021	PRNP	HSPA5	5621	3309		ENST00000324460	direct interaction	biogrid	10970892	0.41838	0.163	0.261143523756573	Low	Small-scale	hsa05020
438397.html	Q96A08	Q92769	HIST1H2BA	HDAC2	255626	3066	ENST00000274764	ENST00000368632 [Q92769-3];ENST00000519065 [Q92769-1];ENST00000519108 [Q92769-3]	direct interaction	biogrid	24722339	0.41838	0.6	0.50102694538318	High	Small-scale	hsa05034
341410.html	Q9Y4K3	O43318	TRAF6	MAP3K7	7189	6885	ENST00000348124;ENST00000526995	ENST00000369325 [O43318-3];ENST00000369327 [O43318-4];ENST00000369329 [O43318-1];ENST00000369332 [O43318-2]	direct interaction;physical association;association	intact	22851693;19820695;19232515;12496252;10882101;11518704;18758450;14633987;19521662;22924441;25963657;16517750;26038599;21822258;22643835;24434549;10094049;19112497;10921914;12242293;12609980;19675569;16543409;11259596;19843958	0.97948	0.6	0.766608113706084	High	Small-scale	hsa04064;hsa04380;hsa04620;hsa04657;hsa05140;hsa05145;hsa05162;hsa05168;hsa05169
78117.html	Q6FG41	P15336	FOS	ATF2	2353	1386		ENST00000264110 [P15336-1];ENST00000345739 [P15336-4];ENST00000392544 [P15336-1];ENST00000409499 [P15336-8];ENST00000409635 [P15336-4];ENST00000409833 [P15336-3];ENST00000426833 [P15336-5]	direct interaction;physical association	intact	1828107;16511568;25416956	0.63636	1	0.79772175600268	High	Small-scale	hsa05031
18344.html	Q9HD42	O75351	CHMP1A	VPS4B	5119	9525	ENST00000397901 [Q9HD42-1]	ENST00000238497	direct interaction;physical association	intact	unassigned1304;14505570;17928862	0.70571	0.6	0.650711917825392	High	Small-scale	hsa04144
442761.html	P34998	P63096	CRHR1	GNAI1	104909134;1394	2770	ENST00000314537 [P34998-2];ENST00000352855 [P34998-3];ENST00000398285 [P34998-1];ENST00000577353 [P34998-4];ENST00000613260 [P34998-1];ENST00000615345 [P34998-3];ENST00000616274 [P34998-1];ENST00000616748 [P34998-3];ENST00000617905 [P34998-2];ENST00000618382 [P34998-2];ENST00000633723 [P34998-4]	ENST00000351004 [P63096-1];ENST00000457358 [P63096-2]	direct interaction;physical association	biogrid	10598591	0.46361	0.6	0.527414448038732	High	Small-scale	hsa04730
451332.html	Q15762	P05107	CD226	ITGB2	10666	3689	ENST00000280200;ENST00000582621	ENST00000302347;ENST00000355153;ENST00000397850;ENST00000397852;ENST00000397857	direct interaction;physical association	biogrid	10591186	0.46361	1	0.680889124601062	High	Small-scale	hsa04514
466610.html	P08069	P04899	IGF1R	GNAI2	3480	2771	ENST00000268035	ENST00000266027 [P04899-6];ENST00000313601 [P04899-1];ENST00000422163 [P04899-5];ENST00000440628 [P04899-6];ENST00000451956 [P04899-3]	direct interaction	hprd	11120746	0.27808	0.6	0.408470317159032	High	Small-scale	hsa04730
107349.html	P31946	O43524	YWHAB	FOXO3	7529	2309	ENST00000353703 [P31946-1];ENST00000372839 [P31946-1]	ENST00000343882 [O43524-1];ENST00000406360 [O43524-1];ENST00000540898 [O43524-2]	physical association;association	intact	20562859;24255178;19940129	0.73072	0.6	0.662141978732658	High	Small-scale	hsa04151
196046.html	O00238	Q13145	BMPR1B	BAMBI	658	25805	ENST00000264568 [O00238-1];ENST00000394931 [O00238-1];ENST00000440890 [O00238-2];ENST00000509540 [O00238-1];ENST00000512312 [O00238-1];ENST00000515059 [O00238-1]	ENST00000375533	direct interaction	biogrid	19758997	0.41838	0.6	0.50102694538318	High	Small-scale	hsa04350
482831.html	P35222	Q9HCS4	CTNNB1	TCF7L1	1499	83439	ENST00000349496 [P35222-1];ENST00000396183 [P35222-1];ENST00000396185 [P35222-1];ENST00000405570 [P35222-1]	ENST00000282111	direct interaction;association	biogrid	11266540;15327769;11136974	0.60659	1	0.778838879358241	High	Small-scale	hsa04310;hsa04390;hsa04916;hsa05200;hsa05210;hsa05213;hsa05215;hsa05216;hsa05217;hsa05224;hsa05412
144373.html	O43318	P51617	MAP3K7	IRAK1	6885	3654	ENST00000369325 [O43318-3];ENST00000369327 [O43318-4];ENST00000369329 [O43318-1];ENST00000369332 [O43318-2]	ENST00000369974 [P51617-4];ENST00000369980 [P51617-1];ENST00000393687 [P51617-2]	physical association	biogrid	23244239;17197697;19026643;12242293	0.76232	1	0.87310938604507	High	Small-scale	hsa04064
511263.html	P46934	P00533	NEDD4	EGFR	4734	1956	ENST00000338963 [P46934-3];ENST00000435532 [P46934-4];ENST00000506154 [P46934-2];ENST00000508342 [P46934-1]	ENST00000275493 [P00533-1];ENST00000342916 [P00533-4];ENST00000344576 [P00533-3];ENST00000420316 [P00533-2]	direct interaction	biogrid	19953087	0.47896	0.6	0.536074621671274	High	High-throughput	hsa04144
486239.html	Q16627	P32246	CCL14	CCR1	6358	1230	ENST00000618404 [Q16627-1];ENST00000619040 [Q16627-2];ENST00000622526 [Q16627-2];ENST00000632700 [Q16627-1]	ENST00000296140	direct interaction;physical association	dip	11085751;9687537	0.53276	1	0.729904103290288	High	Small-scale	hsa04060;hsa04062
428799.html	P16581	Q14242	SELE	SELPLG	6401	6404	ENST00000333360	ENST00000228463 [Q14242-2];ENST00000550948 [Q14242-1]	direct interaction	hprd	8621728;9128259	0.40393	0.6	0.492298689821535	High	Small-scale	hsa04514
90199.html	P12643	Q13873	BMP2	BMPR2	650	659	ENST00000378827	ENST00000374574 [Q13873-2];ENST00000374580 [Q13873-1]	direct interaction;physical association	biogrid	10880444;7791754;10712517;25938661	0.82139	1	0.906305687944195	High	Small-scale	hsa04060;hsa04350;hsa04390;hsa04550
407664.html	P27361	P53355	MAPK3	DAPK1	5595	1612	ENST00000263025 [P27361-1];ENST00000322266 [P27361-2];ENST00000395199 [P27361-3];ENST00000395202 [P27361-2]	ENST00000358077 [P53355-1];ENST00000408954 [P53355-1];ENST00000469640 [P53355-4];ENST00000472284 [P53355-1];ENST00000491893 [P53355-4];ENST00000622514 [P53355-1]	direct interaction;physical association	intact	15616583;25241761	0.66465	1	0.815260694502072	High	Small-scale	hsa05200;hsa05219
405987.html	P42858	Q13127	HTT	REST	3064	5978	ENST00000355072	ENST00000309042 [Q13127-1];ENST00000619101 [Q13127-1]	direct interaction	hprd	12881722	0.27808	0.6	0.408470317159032	High	Small-scale	hsa05016
123891.html	P36941	P01374	LTBR	LTA	4055	4049	ENST00000228918 [P36941-1];ENST00000539925 [P36941-2]	ENST00000412851;ENST00000418386;ENST00000426845;ENST00000436519;ENST00000454550;ENST00000454783	direct interaction;physical association	dip	8171323	0.46361	1	0.680889124601062	High	Small-scale	hsa04060;hsa04064
148874.html	P28482	Q02156	MAPK1	PRKCE	5594	5581	ENST00000215832 [P28482-1];ENST00000398822 [P28482-1];ENST00000544786 [P28482-2]	ENST00000306156	direct interaction;physical association	biogrid	11350735	0.46361	1	0.680889124601062	High	Small-scale	hsa04933
297406.html	P16220	Q92793	CREB1	CREBBP	1385	1387	ENST00000353267 [P16220-2];ENST00000430624 [P16220-2];ENST00000432329 [P16220-1]	ENST00000262367 [Q92793-1];ENST00000382070 [Q92793-2]	direct interaction;physical association;association	intact	11564156;12196545;8663317;17476304;10848610;15073328;15691881;8413673;20403362;7870179;10866654;16799563;9786917;8028671;9829964;12198160;17707401;9413984;11259575;11313407;15585582;18599546;7913207;20541704	0.98275	1	0.99133748037689	High	Small-scale	hsa05215
99565.html	P48061	P51679	CXCL12	CCR4	6387	1233	ENST00000343575 [P48061-2];ENST00000374426 [P48061-3];ENST00000374429 [P48061-1];ENST00000395793 [P48061-7];ENST00000395794 [P48061-4];ENST00000395795 [P48061-7]	ENST00000330953	physical association	dip	10556181;11527993	0.38994	1	0.624451759545924	High	Small-scale	hsa04062
47201.html	Q07021	Q07955	C1QBP	SRSF1	708	6426	ENST00000225698	ENST00000258962 [Q07955-1];ENST00000581979 [Q07955-3];ENST00000582730 [Q07955-3]	direct interaction	biogrid	10022843	0.41838	0.6	0.50102694538318	High	Small-scale	hsa05168
286541.html	O14929	P62805	HAT1	HIST1H4A; HIST1H4B; HIST1H4C; HIST1H4D; HIST1H4E; HIST1H4F; HIST1H4H; HIST1H4I; HIST1H4J; HIST1H4K; HIST1H4L; HIST2H4A; HIST2H4B; HIST4H4	8520	121504;554313;8294;8359;8360;8361;8362;8363;8364;8365;8366;8367;8368;8370	ENST00000264108	ENST00000244537;ENST00000355057;ENST00000358064;ENST00000377727;ENST00000377745;ENST00000377803;ENST00000539745;ENST00000578186;ENST00000579512;ENST00000611927;ENST00000612061;ENST00000613412;ENST00000614247;ENST00000614272;ENST00000615164;ENST00000615353;ENST00000617569;ENST00000618193;ENST00000618305;ENST00000621520;ENST00000634560;ENST00000634956;ENST00000635491	direct interaction;physical association;association	intact	22615379;19862764;9427644;22228774	0.8251	0.6	0.703605002824738	High	Small-scale	hsa05034
51087.html	P61981	P46937	YWHAG	YAP1	7532	10413	ENST00000307630	ENST00000282441 [P46937-1];ENST00000345877 [P46937-7];ENST00000524575 [P46937-4];ENST00000526343 [P46937-5];ENST00000531439 [P46937-2];ENST00000537274 [P46937-8];ENST00000615667 [P46937-9];ENST00000629586 [P46937-3]	direct interaction;physical association;association	intact	24366813;15324660;24255178;17353931	0.81289	0.6	0.698379552965291	High	High-throughput	hsa04390
50279.html	P45983	Q12933	MAPK8	TRAF2	5599	7186	ENST00000360332 [P45983-5];ENST00000374176 [P45983-4];ENST00000374179 [P45983-3];ENST00000374182 [P45983-2];ENST00000374189 [P45983-1];ENST00000395611 [P45983-4]	ENST00000247668 [Q12933-1]	physical association	biogrid	9692890	0.3819	0.6	0.478685700642917	High	Small-scale	hsa04920;hsa05168
12617.html	P20701	P32942	ITGAL	ICAM3	3683	3385	ENST00000356798 [P20701-1];ENST00000358164 [P20701-3]	ENST00000160262	direct interaction	intact	11353828;15728350	0.54423	1	0.737719458873087	High	Small-scale	hsa04514
35625.html	P27986	P08581	PIK3R1	MET	5295	4233	ENST00000320694 [P27986-3];ENST00000336483 [P27986-2];ENST00000521381 [P27986-1];ENST00000521657 [P27986-1];ENST00000523872 [P27986-5]	ENST00000318493 [P08581-2];ENST00000397752 [P08581-1];ENST00000436117 [P08581-3]	direct interaction	intact	24728074;7513258	0.54423	1	0.737719458873087	High	Small-scale	hsa04510;hsa05230
145162.html	Q02297	Q15303	NRG1	ERBB4	3084	2066	ENST00000287842 [Q02297-6];ENST00000356819 [Q02297-7];ENST00000405005 [Q02297-1];ENST00000519301 [Q02297-11];ENST00000520407 [Q02297-9];ENST00000520502 [Q02297-10];ENST00000521670 [Q02297-3];ENST00000523079 [Q02297-12]	ENST00000342788 [Q15303-1];ENST00000436443 [Q15303-3]	direct interaction	biogrid	9168115	0.41838	1	0.646823005156743	High	Small-scale	hsa04012
133386.html	Q9NZZ3	O75351	CHMP5	VPS4B	51510	9525	ENST00000223500 [Q9NZZ3-1];ENST00000419016 [Q9NZZ3-2]	ENST00000238497	direct interaction;physical association	intact	unassigned1304;25416956	0.65714	0.6	0.627920377117991	High	High-throughput	hsa04144
165590.html	O95622	P17252	ADCY5	PRKCA	111	5578	ENST00000309879 [O95622-2];ENST00000462833 [O95622-1]	ENST00000413366	direct interaction	hprd	8206971;7759492	0.40393	0.6	0.492298689821535	High	Small-scale	hsa05032
278093.html	P09874	P42574	PARP1	CASP3	142	836	ENST00000366794	ENST00000308394;ENST00000523916	direct interaction;protein cleavage	intact	18723680;19549685;17167422;7596430;19713971;9875225;22451931	0.92738	0.6	0.745941016434946	High	Small-scale	hsa04210
475071.html	P52948	Q9UBU9	NUP98	NXF1	4928	10482	ENST00000324932 [P52948-5];ENST00000355260 [P52948-2];ENST00000359171 [P52948-1];ENST00000397004 [P52948-4];ENST00000397007 [P52948-3]	ENST00000294172 [Q9UBU9-1];ENST00000531709 [Q9UBU9-2];ENST00000532297 [Q9UBU9-1]	direct interaction;physical association	intact	16314397;10668806;22334672;11073998;11551912	0.85687	0.6	0.717023012183012	High	Small-scale	hsa05164
204246.html	Q9Y5S9	Q9BRP8	RBM8A	PYM1	9939	84305	ENST00000369307 [Q9Y5S9-2];ENST00000583313 [Q9Y5S9-1];ENST00000632555 [Q9Y5S9-1]	ENST00000398213 [Q9BRP8-2];ENST00000408946 [Q9BRP8-1]	physical association;association	intact	25616068;16209946;16601204;19410547;26496610	0.84451	1	0.918972252029407	High	Small-scale	hsa03013
156528.html	Q8TAT6	Q92890	NPLOC4	UFD1	55666	7353	ENST00000331134 [Q8TAT6-1];ENST00000374747 [Q8TAT6-2]	ENST00000263202 [Q92890-2];ENST00000399523 [Q92890-3]	direct interaction;physical association;association	intact	16322459;unassigned1304;15371428;17202270;26389662;20414249;18586029;11574150;24248593	0.92582	0.6	0.745313356917746	High	Small-scale	hsa04141
4283.html	Q13873	P22004	BMPR2	BMP6	659	654	ENST00000374574 [Q13873-2];ENST00000374580 [Q13873-1]	ENST00000283147	direct interaction;physical association	biogrid	10504300;11401330	0.5286	1	0.727048829171741	High	Small-scale	hsa04350;hsa04390
436660.html	Q16539	P35236	MAPK14	PTPN7	1432	5778	ENST00000229794 [Q16539-1];ENST00000229795 [Q16539-2];ENST00000310795 [Q16539-4]	ENST00000309017 [P35236-3];ENST00000367279 [P35236-2];ENST00000495688 [P35236-1]	direct interaction;physical association	intact	25241761;10415025;10559944;10206983	0.73897	0.6	0.665869356555774	High	Small-scale	hsa04010
59321.html	Q8N5V2	P61586	NGEF	RHOA	25791	387	ENST00000264051 [Q8N5V2-1];ENST00000373552 [Q8N5V2-3];ENST00000409079 [Q8N5V2-2]	ENST00000418115	physical association	intact	18256687	0.3819	1	0.617980582219215	High	Small-scale	hsa04360
100775.html	P43026	Q13873	GDF5	BMPR2	8200	659	ENST00000374369;ENST00000374372	ENST00000374574 [Q13873-2];ENST00000374580 [Q13873-1]	direct interaction	intact	9525338;19229295	0.60481	1	0.777695313088616	High	Small-scale	hsa04350;hsa04390
277737.html	Q8TE77	P23528	SSH3	CFL1	54961	1072	ENST00000308127 [Q8TE77-1];ENST00000376757 [Q8TE77-3];ENST00000532881 [Q8TE77-2]	ENST00000308162;ENST00000525451	direct interaction	hprd	11832213	0.27808	0.6	0.408470317159032	High	Small-scale	hsa04360;hsa04810
314677.html	Q05513	P49841	PRKCZ	GSK3B	5590	2932	ENST00000378567 [Q05513-1];ENST00000400921 [Q05513-2];ENST00000461106 [Q05513-3]	ENST00000264235 [P49841-1];ENST00000316626 [P49841-2]	direct interaction;physical association	intact	25241761;11481324	0.5286	1	0.727048829171741	High	Small-scale	hsa04360
342428.html	Q9Y4R8	Q13535	TELO2	ATR	9894	545	ENST00000262319	ENST00000350721 [Q13535-1]	physical association;association	intact	20427287;20801936;18160036	0.74069	0.5	0.608559775207005	High	Small-scale	hsa03460
483351.html	P05231	P08887	IL6	IL6R	3569	3570	ENST00000258743;ENST00000404625	ENST00000344086 [P08887-2];ENST00000368485 [P08887-1]	direct interaction;physical association;association	intact	12643274;9028955;12829785;7744001;2788034;9694899;11238858;14557255;8702737	0.93752	1	0.968256164452362	High	Small-scale	hsa01521;hsa04060;hsa04066;hsa04151;hsa04630;hsa04659;hsa04932
179251.html	Q13535	P38398	ATR	BRCA1	545	672	ENST00000350721 [Q13535-1]	ENST00000352993 [P38398-5];ENST00000357654 [P38398-1];ENST00000461221 [P38398-2];ENST00000461798 [P38398-2];ENST00000468300 [P38398-6];ENST00000471181 [P38398-7];ENST00000491747 [P38398-3];ENST00000493795 [P38398-8]	direct interaction;physical association	biogrid	17478428;11114888;11016625;10608806;11278964;23901102	0.90434	0.6	0.736616589549815	High	Small-scale	hsa03460
513879.html	P38398	Q9BX63	BRCA1	BRIP1	672	83990	ENST00000352993 [P38398-5];ENST00000357654 [P38398-1];ENST00000461221 [P38398-2];ENST00000461798 [P38398-2];ENST00000468300 [P38398-6];ENST00000471181 [P38398-7];ENST00000491747 [P38398-3];ENST00000493795 [P38398-8]	ENST00000259008	direct interaction;physical association;association	intact	17525341;20159462;21240188;14576432;17581638;18285836;15133502;17525342;20173781;18717574;25184681;14576433;15242590;17596542;11877378;22032289;20681793;19369211;19452558;17525340;14578343	0.98027	0.6	0.766917205440066	High	Small-scale	hsa03440
176430.html	Q15796	O15105	SMAD2	SMAD7	4087	4092	ENST00000262160 [Q15796-1];ENST00000356825 [Q15796-2];ENST00000402690 [Q15796-1];ENST00000586040 [Q15796-2]	ENST00000262158 [O15105-1];ENST00000589634 [O15105-3];ENST00000591805 [O15105-2]	direct interaction;physical association	biogrid	17438144;26555259	0.58918	1	0.767580614658812	High	Small-scale	hsa04390
410585.html	Q8IW41	O15264	MAPKAPK5	MAPK13	8550	5603	ENST00000550735 [Q8IW41-2];ENST00000551404 [Q8IW41-1]	ENST00000211287 [O15264-1];ENST00000373766 [O15264-2]	direct interaction	hprd	9628874	0.27808	1	0.527332911925664	High	Small-scale	hsa04010
168460.html	O95352	O95352	ATG7	ATG7	10533	10533	ENST00000354449 [O95352-1];ENST00000354956 [O95352-2];ENST00000446450 [O95352-3]	ENST00000354449 [O95352-1];ENST00000354956 [O95352-2];ENST00000446450 [O95352-3]	physical association	intact	20562859	0.3819	1	0.617980582219215	High	High-throughput	hsa04140
70414.html	O60610	Q15109	DIAPH1	AGER	1729	177	ENST00000389054 [O60610-1];ENST00000518047 [O60610-3]	ENST00000375055 [Q15109-3];ENST00000375067 [Q15109-2];ENST00000375069 [Q15109-6];ENST00000375076 [Q15109-1];ENST00000383275 [Q15109-3];ENST00000383279 [Q15109-2];ENST00000412470 [Q15109-2];ENST00000426138;ENST00000427822;ENST00000432831 [Q15109-3];ENST00000436456 [Q15109-1];ENST00000438221 [Q15109-4];ENST00000441180 [Q15109-2];ENST00000441804 [Q15109-2];ENST00000447921 [Q15109-1];ENST00000449037 [Q15109-3];ENST00000451115 [Q15109-1];ENST00000453588 [Q15109-3];ENST00000456918 [Q15109-1];ENST00000547328 [Q15109-6];ENST00000547651 [Q15109-4];ENST00000548464 [Q15109-6];ENST00000549758 [Q15109-6];ENST00000550562 [Q15109-4];ENST00000551254 [Q15109-4];ENST00000551381 [Q15109-6];ENST00000551827 [Q15109-4]	physical association	intact	18922799	0.46635	0.55	0.506450886068926	High	Small-scale	hsa04933
