#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
intact:EBI-526084	intact:EBI-372128	uniprotkb:O54918-3	uniprotkb:Q9NP97	psi-mi:o54918-3|psi-mi:Bcl2l11|uniprotkb:Bcl2l11|uniprotkb:Bim|uniprotkb:Bcl2-interacting mediator of cell death|intact:EBI-7424890|intact:MINT-89475	psi-mi:dlrb1_human|psi-mi:DYNLRB1|uniprotkb:Q5TC72|uniprotkb:Q96IV3|uniprotkb:Q9NQM2|uniprotkb:B1AKR5|uniprotkb:DYNLRB1|uniprotkb:BITH|uniprotkb:DNLC2A|uniprotkb:HSPC162|uniprotkb:Dynein light chain 2A, cytoplasmic|uniprotkb:Dynein-associated protein Km23|uniprotkb:Bithoraxoid-like protein|uniprotkb:DNCL2A|uniprotkb:ROBLD1|uniprotkb:Roadblock domain-containing protein 1	psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Puthalakath et al. (1999)	pubmed:10198631|mint:MINT-5211354	taxid:10090(mouse)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-526268|intact:EBI-526131|intact:EBI-526288	intact-miscore:0.5079592
intact:EBI-6249599	intact:EBI-641062	uniprotkb:O75367-2	uniprotkb:P04626	psi-mi:o75367-2|psi-mi:H2AFY|uniprotkb:H2AFY|uniprotkb:MACROH2A1|uniprotkb:Histone H2A.y|uniprotkb:Medulloblastoma antigen MU-MB-50.205|uniprotkb:mH2A1.1	psi-mi:erbb2_human|psi-mi:ERBB2|uniprotkb:Q14256|uniprotkb:Q6LDV1|uniprotkb:Q9UMK4|uniprotkb:B2RZG3|uniprotkb:B4DHN3|uniprotkb:X5D2V5|uniprotkb:p185erbB2|uniprotkb:MLN19|uniprotkb:Proto-oncogene c-ErbB-2|uniprotkb:Tyrosine kinase-type cell surface receptor HER2|uniprotkb:Proto-oncogene Neu|uniprotkb:ERBB2|uniprotkb:HER2|uniprotkb:NEU|uniprotkb:NGL|uniprotkb:Metastatic lymph node gene 19 protein	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Li et al. (2012)	pubmed:22589551|imex:IM-17421	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6249591	intact-miscore:0.40116468
intact:EBI-347088	intact:EBI-358419	uniprotkb:P63104	uniprotkb:Q12824	psi-mi:1433z_human|psi-mi:YWHAZ|uniprotkb:P29213|uniprotkb:P29312|uniprotkb:Q32P43|uniprotkb:Q5XJ08|uniprotkb:Q6GPI2|uniprotkb:Q6IN74|uniprotkb:Q6NUR9|uniprotkb:Q6P3U9|uniprotkb:Q86V33|uniprotkb:A8K1N0|uniprotkb:B7Z465|uniprotkb:YWHAZ|uniprotkb:Protein kinase C inhibitor protein 1	psi-mi:snf5_human|psi-mi:SMARCB1|uniprotkb:O75784|uniprotkb:O95474|uniprotkb:Q38GA1|uniprotkb:Q76N08|uniprotkb:Q9UBH2|uniprotkb:Q17S11|uniprotkb:SMARCB1|uniprotkb:INI1|uniprotkb:SNF5L1|uniprotkb:Integrase interactor 1 protein|uniprotkb:BAF47|uniprotkb:SNF5 homolog|uniprotkb:BRG1-associated factor 47	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Angrand et al. (2006)	pubmed:16959763|imex:IM-17709	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6272350	intact-miscore:0.40116468
intact:EBI-396684	intact:EBI-6305891	uniprotkb:P42566	uniprotkb:P98078-3	psi-mi:eps15_human|psi-mi:EPS15|uniprotkb:B2R8J7|uniprotkb:Q5SRH4|uniprotkb:D3DPJ2|uniprotkb:EPS15|uniprotkb:AF1P|uniprotkb:Protein AF-1p	psi-mi:p98078-3|psi-mi:Dab2|uniprotkb:Dab2|uniprotkb:Doc2|uniprotkb:Mitogen-responsive phosphoprotein|uniprotkb:Adaptor molecule disabled-2|uniprotkb:Differentially expressed in ovarian carcinoma 2	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Teckchandani et al. (2012)	imex:IM-17871|pubmed:22648170	taxid:9606(human)	taxid:10090(mouse)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6354102	intact-miscore:0.40116468
intact:EBI-1207636	intact:EBI-287195	uniprotkb:Q86Y07-2	uniprotkb:Q07817-1	psi-mi:q86y07-2|psi-mi:VRK2|uniprotkb:VRK2|uniprotkb:Vaccinia-related kinase 2|uniprotkb:VRK2B	psi-mi:q07817-1|psi-mi:BCL2L1|uniprotkb:BCLX|uniprotkb:Apoptosis regulator Bcl-X|uniprotkb:BCL2L1|uniprotkb:BCL2L|uniprotkb:Bcl-xL|intact:EBI-8058735|intact:MINT-89566|intact:EBI-8058554|intact:EBI-8058512|intact:EBI-8058443	psi-mi:"MI:0096"(pull down)	- (2013)	pubmed:23449449|imex:IM-18530	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6554686	intact-miscore:0.40116468
intact:EBI-6620843	intact:EBI-779636	uniprotkb:Q90998	uniprotkb:P01137	psi-mi:q90998_chick|psi-mi:TGFBR3|uniprotkb:TGFBR3	psi-mi:tgfb1_human|psi-mi:TGFB1|uniprotkb:Q9UCG4|uniprotkb:A8K792|uniprotkb:TGFB1|uniprotkb:TGFB	psi-mi:"MI:0400"(affinity technology)	Brown et al. (1999)	pubmed:10092230|imex:IM-26106	taxid:9031(chick)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1335"(HPIDb)	intact:EBI-6622428	replication-based confidence:3|intact-miscore:0.40116468
intact:EBI-6859460	intact:EBI-295890	uniprotkb:P03255-2	uniprotkb:P29590	psi-mi:p03255-2|uniprotkb:Early E1A 32 kDa protein|uniprotkb:243R|uniprotkb:S-E1A|intact:EBI-7796221|intact:EBI-8665485|intact:EBI-7796198|intact:EBI-6996423|intact:EBI-7427771|intact:EBI-8679750|intact:EBI-8544261|intact:EBI-8646018|intact:EBI-8646062|intact:EBI-8646168|intact:EBI-7427730|intact:EBI-8053186|intact:EBI-8645976|intact:EBI-8646143|intact:EBI-8665537|intact:EBI-7427512|intact:EBI-8544381|intact:MINT-87562|intact:EBI-8544435|intact:EBI-8679721|intact:EBI-8665366|intact:EBI-7140610|intact:EBI-8646114|intact:EBI-8665567|intact:EBI-7140682|intact:EBI-8544418	psi-mi:pml_human|psi-mi:PML|uniprotkb:P29591|uniprotkb:P29592|uniprotkb:P29593|uniprotkb:Q00755|uniprotkb:Q96S41|uniprotkb:Q15959|uniprotkb:Q59FP9|uniprotkb:Q8WUA0|uniprotkb:Q9BPW2|uniprotkb:Q9BWP7|uniprotkb:Q9BZX6|uniprotkb:Q9BZX7|uniprotkb:Q9BZX8|uniprotkb:Q9BZX9|uniprotkb:Q9BZY0|uniprotkb:Q9BZY2|uniprotkb:Q9BZY3|uniprotkb:E9PBR7|uniprotkb:PML|uniprotkb:MYL|uniprotkb:RNF71|uniprotkb:TRIM19|uniprotkb:Tripartite motif-containing protein 19|uniprotkb:RING finger protein 71|uniprotkb:Promyelocytic leukemia protein|uniprotkb:PP8675|intact:EBI-779712|intact:EBI-1210702|intact:EBI-870812|dip:DIP-33053N	psi-mi:"MI:0663"(confocal microscopy)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Berscheminski et al. (2013)	imex:IM-20843|pubmed:23135708	taxid:28285(ade05)	taxid:9606(human)	psi-mi:"MI:0403"(colocalization)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6861269|intact:EBI-6861008	intact-miscore:0.46269515
intact:EBI-6692439	intact:EBI-304008	uniprotkb:P03255-1	uniprotkb:P29590-5	psi-mi:p03255-1|uniprotkb:Early E1A 32 kDa protein|uniprotkb:289R|uniprotkb:L-E1A|intact:EBI-8544317|intact:EBI-8665409|intact:EBI-8665441|intact:EBI-8544462|intact:EBI-8544536|intact:EBI-8665603|intact:EBI-8544558|intact:MINT-87557|intact:EBI-8544293|intact:EBI-8544365|intact:EBI-8665466	psi-mi:p29590-5|psi-mi:PML|uniprotkb:PML|uniprotkb:MYL|uniprotkb:RNF71|uniprotkb:TRIM19|uniprotkb:RING finger protein 71|uniprotkb:Tripartite motif-containing protein 19|uniprotkb:PML-IV|uniprotkb:PML-X|uniprotkb:TRIM19zeta|uniprotkb:Promyelocytic leukemia protein|uniprotkb:PP8675	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Berscheminski et al. (2013)	imex:IM-20843|pubmed:23135708	taxid:28285(ade05)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6861335	intact-miscore:0.40116468
intact:EBI-6861318	intact:EBI-6692439	uniprotkb:P29590-9	uniprotkb:P03255-1	psi-mi:p29590-9|psi-mi:PML|uniprotkb:PML-III|uniprotkb:PML|uniprotkb:MYL|uniprotkb:PP8675|uniprotkb:RNF71|uniprotkb:TRIM19|uniprotkb:Promyelocytic leukemia protein|uniprotkb:RING finger protein 71|uniprotkb:Tripartite motif-containing protein 19	psi-mi:p03255-1|uniprotkb:Early E1A 32 kDa protein|uniprotkb:289R|uniprotkb:L-E1A|intact:EBI-8544317|intact:EBI-8665409|intact:EBI-8665441|intact:EBI-8544462|intact:EBI-8544536|intact:EBI-8665603|intact:EBI-8544558|intact:MINT-87557|intact:EBI-8544293|intact:EBI-8544365|intact:EBI-8665466	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Berscheminski et al. (2013)	imex:IM-20843|pubmed:23135708	taxid:9606(human)	taxid:28285(ade05)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6861314	intact-miscore:0.40116468
intact:EBI-304004	intact:EBI-6692439	uniprotkb:P29590-4	uniprotkb:P03255-1	psi-mi:p29590-4|psi-mi:PML|uniprotkb:PML|uniprotkb:MYL|uniprotkb:RNF71|uniprotkb:TRIM19|uniprotkb:RING finger protein 71|uniprotkb:Tripartite motif-containing protein 19|uniprotkb:PML-3B|uniprotkb:PML-VI|uniprotkb:TRIM19epsilon|uniprotkb:Promyelocytic leukemia protein|uniprotkb:PP8675	psi-mi:p03255-1|uniprotkb:Early E1A 32 kDa protein|uniprotkb:289R|uniprotkb:L-E1A|intact:EBI-8544317|intact:EBI-8665409|intact:EBI-8665441|intact:EBI-8544462|intact:EBI-8544536|intact:EBI-8665603|intact:EBI-8544558|intact:MINT-87557|intact:EBI-8544293|intact:EBI-8544365|intact:EBI-8665466	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Berscheminski et al. (2013)	imex:IM-20843|pubmed:23135708	taxid:9606(human)	taxid:28285(ade05)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6861349	intact-miscore:0.40116468
intact:EBI-6859460	intact:EBI-6692454	uniprotkb:P03255-2	uniprotkb:P29590-8	psi-mi:p03255-2|uniprotkb:Early E1A 32 kDa protein|uniprotkb:243R|uniprotkb:S-E1A|intact:EBI-7796221|intact:EBI-8665485|intact:EBI-7796198|intact:EBI-6996423|intact:EBI-7427771|intact:EBI-8679750|intact:EBI-8544261|intact:EBI-8646018|intact:EBI-8646062|intact:EBI-8646168|intact:EBI-7427730|intact:EBI-8053186|intact:EBI-8645976|intact:EBI-8646143|intact:EBI-8665537|intact:EBI-7427512|intact:EBI-8544381|intact:MINT-87562|intact:EBI-8544435|intact:EBI-8679721|intact:EBI-8665366|intact:EBI-7140610|intact:EBI-8646114|intact:EBI-8665567|intact:EBI-7140682|intact:EBI-8544418	psi-mi:p29590-8|psi-mi:PML|uniprotkb:PML-II|uniprotkb:TRIM19kappa|uniprotkb:PML|uniprotkb:MYL|uniprotkb:PP8675|uniprotkb:RNF71|uniprotkb:TRIM19|uniprotkb:Promyelocytic leukemia protein|uniprotkb:RING finger protein 71|uniprotkb:Tripartite motif-containing protein 19	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Berscheminski et al. (2013)	imex:IM-20843|pubmed:23135708	taxid:28285(ade05)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6861483	intact-miscore:0.40116468
intact:EBI-303992	intact:EBI-6692439	uniprotkb:P29590-1	uniprotkb:P03255-1	psi-mi:p29590-1|psi-mi:PML|uniprotkb:PML|uniprotkb:MYL|uniprotkb:RNF71|uniprotkb:TRIM19|uniprotkb:RING finger protein 71|uniprotkb:Tripartite motif-containing protein 19|uniprotkb:PML-I|uniprotkb:TRIM19alpha|uniprotkb:Promyelocytic leukemia protein|uniprotkb:PP8675	psi-mi:p03255-1|uniprotkb:Early E1A 32 kDa protein|uniprotkb:289R|uniprotkb:L-E1A|intact:EBI-8544317|intact:EBI-8665409|intact:EBI-8665441|intact:EBI-8544462|intact:EBI-8544536|intact:EBI-8665603|intact:EBI-8544558|intact:MINT-87557|intact:EBI-8544293|intact:EBI-8544365|intact:EBI-8665466	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Berscheminski et al. (2013)	imex:IM-20843|pubmed:23135708	taxid:9606(human)	taxid:28285(ade05)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6861300	intact-miscore:0.40116468
intact:EBI-303996	intact:EBI-6692439	uniprotkb:P29590-2	uniprotkb:P03255-1	psi-mi:p29590-2|psi-mi:PML|uniprotkb:PML|uniprotkb:MYL|uniprotkb:RNF71|uniprotkb:TRIM19|uniprotkb:RING finger protein 71|uniprotkb:Tripartite motif-containing protein 19|uniprotkb:PML-2|uniprotkb:PML-V|uniprotkb:TRIM19beta|uniprotkb:Promyelocytic leukemia protein|uniprotkb:PP8675	psi-mi:p03255-1|uniprotkb:Early E1A 32 kDa protein|uniprotkb:289R|uniprotkb:L-E1A|intact:EBI-8544317|intact:EBI-8665409|intact:EBI-8665441|intact:EBI-8544462|intact:EBI-8544536|intact:EBI-8665603|intact:EBI-8544558|intact:MINT-87557|intact:EBI-8544293|intact:EBI-8544365|intact:EBI-8665466	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Berscheminski et al. (2013)	imex:IM-20843|pubmed:23135708	taxid:9606(human)	taxid:28285(ade05)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-6861342	intact-miscore:0.40116468
intact:EBI-309164	intact:EBI-2115556	uniprotkb:P12815	uniprotkb:Q8N114	psi-mi:pdcd6_mouse|psi-mi:Pdcd6|uniprotkb:Q545I0|uniprotkb:Q61145|uniprotkb:Pdcd6|uniprotkb:Alg2|uniprotkb:Apoptosis-linked gene 2 protein|uniprotkb:PMP41|uniprotkb:ALG-257|intact:EBI-6896040	psi-mi:shsa5_human|psi-mi:SHISA5|uniprotkb:Q69YY9|uniprotkb:Q7Z433|uniprotkb:Q8NHL9|uniprotkb:Q96MW8|uniprotkb:Q9BV58|uniprotkb:B3KW99|uniprotkb:F8W9N8|uniprotkb:SHISA5|uniprotkb:SCOTIN|uniprotkb:Scotin|uniprotkb:Putative NF-kappa-B-activating protein 120|uniprotkb:PSEC0133	psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Draeby et al. (2007)	imex:IM-20894|pubmed:17889823	taxid:10090(mouse)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6693634|intact:EBI-6857486|intact:EBI-6857432	intact-miscore:0.54351985
intact:EBI-309164	intact:EBI-6857565	uniprotkb:P12815	uniprotkb:Q9D7I0	psi-mi:pdcd6_mouse|psi-mi:Pdcd6|uniprotkb:Q545I0|uniprotkb:Q61145|uniprotkb:Pdcd6|uniprotkb:Alg2|uniprotkb:Apoptosis-linked gene 2 protein|uniprotkb:PMP41|uniprotkb:ALG-257|intact:EBI-6896040	psi-mi:shsa5_mouse|psi-mi:Shisa5|uniprotkb:Q8BJ86|uniprotkb:Q8BJ87|uniprotkb:Q8BLE9|uniprotkb:Q8K4W3|uniprotkb:Q91Z37|uniprotkb:Q9CQP5|uniprotkb:Shisa5|uniprotkb:Scotin	psi-mi:"MI:0096"(pull down)	Draeby et al. (2007)	imex:IM-20894|pubmed:17889823	taxid:10090(mouse)	taxid:10090(mouse)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6857612	intact-miscore:0.34505215
intact:EBI-309164	intact:EBI-641897	uniprotkb:P12815	uniprotkb:Q9WU78	psi-mi:pdcd6_mouse|psi-mi:Pdcd6|uniprotkb:Q545I0|uniprotkb:Q61145|uniprotkb:Pdcd6|uniprotkb:Alg2|uniprotkb:Apoptosis-linked gene 2 protein|uniprotkb:PMP41|uniprotkb:ALG-257|intact:EBI-6896040	psi-mi:pdc6i_mouse|psi-mi:Pdcd6ip|uniprotkb:Q3TED2|uniprotkb:O88695|uniprotkb:O89014|uniprotkb:Q8BSL8|uniprotkb:Q8R0H5|uniprotkb:Q99LR3|uniprotkb:Q9QZN8|uniprotkb:ALG-2-interacting protein X|uniprotkb:ALG-2-interacting protein 1|uniprotkb:E2F1-inducible protein|uniprotkb:Eig2|uniprotkb:Pdcd6ip|uniprotkb:Aip1|uniprotkb:Alix	psi-mi:"MI:0096"(pull down)	Draeby et al. (2007)	imex:IM-20894|pubmed:17889823	taxid:10090(mouse)	taxid:10090(mouse)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6857612	intact-miscore:0.34505215
intact:EBI-309164	intact:EBI-1202711	uniprotkb:P12815	uniprotkb:Q61187	psi-mi:pdcd6_mouse|psi-mi:Pdcd6|uniprotkb:Q545I0|uniprotkb:Q61145|uniprotkb:Pdcd6|uniprotkb:Alg2|uniprotkb:Apoptosis-linked gene 2 protein|uniprotkb:PMP41|uniprotkb:ALG-257|intact:EBI-6896040	psi-mi:ts101_mouse|psi-mi:Tsg101|uniprotkb:Tsg101|uniprotkb:ESCRT-I complex subunit TSG101	psi-mi:"MI:0096"(pull down)	Draeby et al. (2007)	imex:IM-20894|pubmed:17889823	taxid:10090(mouse)	taxid:10090(mouse)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6857612	intact-miscore:0.34505215
intact:EBI-9117858	intact:EBI-641897	uniprotkb:P12815-2	uniprotkb:Q9WU78	psi-mi:p12815-2|psi-mi:Pdcd6|uniprotkb:Apoptosis-linked gene 2 protein|uniprotkb:ALG-2,1|uniprotkb:Pdcd6|uniprotkb:Alg2|uniprotkb:ALG-257|uniprotkb:PMP41	psi-mi:pdc6i_mouse|psi-mi:Pdcd6ip|uniprotkb:Q3TED2|uniprotkb:O88695|uniprotkb:O89014|uniprotkb:Q8BSL8|uniprotkb:Q8R0H5|uniprotkb:Q99LR3|uniprotkb:Q9QZN8|uniprotkb:ALG-2-interacting protein X|uniprotkb:ALG-2-interacting protein 1|uniprotkb:E2F1-inducible protein|uniprotkb:Eig2|uniprotkb:Pdcd6ip|uniprotkb:Aip1|uniprotkb:Alix	psi-mi:"MI:0018"(two hybrid)	Tarabykina et al. (2000)	pubmed:10744743|imex:IM-20986	taxid:10090(mouse)	taxid:10090(mouse)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6900302	intact-miscore:0.36784992
intact:EBI-918926	intact:EBI-6900918	uniprotkb:Q6P0K8	uniprotkb:Q02487-2	psi-mi:plak_rat|psi-mi:Jup|uniprotkb:Jup	psi-mi:q02487-2|psi-mi:DSC2|uniprotkb:DGIII|uniprotkb:DSC2|uniprotkb:CDHF2|uniprotkb:DSC3|uniprotkb:Cadherin family member 2|uniprotkb:Desmocollin-3|uniprotkb:Desmosomal glycoprotein II|uniprotkb:Desmosomal glycoprotein III	psi-mi:"MI:0096"(pull down)	Gehmlich et al. (2011)	imex:IM-20978|pubmed:21220045	taxid:10116(rat)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6901829	intact-miscore:0.40116468
intact:EBI-1103439	intact:EBI-6900918	uniprotkb:P17302	uniprotkb:Q02487-2	psi-mi:cxa1_human|psi-mi:GJA1|uniprotkb:Q6FHU1|uniprotkb:Q9Y5I8|uniprotkb:B2R5U9|uniprotkb:GJAL|uniprotkb:Connexin-43|uniprotkb:Gap junction 43 kDa heart protein|uniprotkb:GJA1	psi-mi:q02487-2|psi-mi:DSC2|uniprotkb:DGIII|uniprotkb:DSC2|uniprotkb:CDHF2|uniprotkb:DSC3|uniprotkb:Cadherin family member 2|uniprotkb:Desmocollin-3|uniprotkb:Desmosomal glycoprotein II|uniprotkb:Desmosomal glycoprotein III	psi-mi:"MI:0096"(pull down)	Gehmlich et al. (2011)	imex:IM-20978|pubmed:21220045	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6901218|intact:EBI-6901881	intact-miscore:0.40116468
intact:EBI-8790593	intact:EBI-397902	uniprotkb:P14270-3	uniprotkb:Q9QX74	psi-mi:p14270-3|psi-mi:Pde4d|uniprotkb:PDE3.2|uniprotkb:Pde4d|uniprotkb:DPDE3	psi-mi:shan2_rat|psi-mi:Shank2|uniprotkb:Q9WUW0|uniprotkb:O70470|uniprotkb:Q6WB19|uniprotkb:Q9QX93|uniprotkb:Q9QZZ9|uniprotkb:Q9WUV9|uniprotkb:Q9WV46|uniprotkb:Cortactin-binding protein 1|uniprotkb:Proline-rich synapse-associated protein 1|uniprotkb:GKAP/SAPAP-interacting protein|uniprotkb:SPANK-3|uniprotkb:Shank2|uniprotkb:Cortbp1	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Lee et al. (2007)	pubmed:17244609|imex:IM-21824	taxid:10116(rat)	taxid:10116(rat)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-8790600	intact-miscore:0.40116468
intact:EBI-8790607	intact:EBI-397902	uniprotkb:P14270-7	uniprotkb:Q9QX74	psi-mi:p14270-7|psi-mi:Pde4d|uniprotkb:PDE4D6|uniprotkb:Pde4d|uniprotkb:DPDE3	psi-mi:shan2_rat|psi-mi:Shank2|uniprotkb:Q9WUW0|uniprotkb:O70470|uniprotkb:Q6WB19|uniprotkb:Q9QX93|uniprotkb:Q9QZZ9|uniprotkb:Q9WUV9|uniprotkb:Q9WV46|uniprotkb:Cortactin-binding protein 1|uniprotkb:Proline-rich synapse-associated protein 1|uniprotkb:GKAP/SAPAP-interacting protein|uniprotkb:SPANK-3|uniprotkb:Shank2|uniprotkb:Cortbp1	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Lee et al. (2007)	pubmed:17244609|imex:IM-21824	taxid:10116(rat)	taxid:10116(rat)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-8790605	intact-miscore:0.40116468
intact:EBI-6692454	intact:EBI-1772203	uniprotkb:P29590-8	uniprotkb:O14746	psi-mi:p29590-8|psi-mi:PML|uniprotkb:PML-II|uniprotkb:TRIM19kappa|uniprotkb:PML|uniprotkb:MYL|uniprotkb:PP8675|uniprotkb:RNF71|uniprotkb:TRIM19|uniprotkb:Promyelocytic leukemia protein|uniprotkb:RING finger protein 71|uniprotkb:Tripartite motif-containing protein 19	psi-mi:tert_human|psi-mi:TERT|uniprotkb:O14783|uniprotkb:Q2XS35|uniprotkb:Q8N6C3|uniprotkb:Q8NG46|uniprotkb:Q8NG38|uniprotkb:TERT|uniprotkb:EST2|uniprotkb:TCS1|uniprotkb:TRT|uniprotkb:Telomerase catalytic subunit|uniprotkb:HEST2|uniprotkb:Telomerase-associated protein 2	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0416"(fluorescence microscopy)	Oh et al. (2009)	pubmed:19567472|imex:IM-22113	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:1332"(bhf-ucl)	intact:EBI-8761574|intact:EBI-8761614	intact-miscore:0.46269515
intact:EBI-6861318	intact:EBI-1772203	uniprotkb:P29590-9	uniprotkb:O14746	psi-mi:p29590-9|psi-mi:PML|uniprotkb:PML-III|uniprotkb:PML|uniprotkb:MYL|uniprotkb:PP8675|uniprotkb:RNF71|uniprotkb:TRIM19|uniprotkb:Promyelocytic leukemia protein|uniprotkb:RING finger protein 71|uniprotkb:Tripartite motif-containing protein 19	psi-mi:tert_human|psi-mi:TERT|uniprotkb:O14783|uniprotkb:Q2XS35|uniprotkb:Q8N6C3|uniprotkb:Q8NG46|uniprotkb:Q8NG38|uniprotkb:TERT|uniprotkb:EST2|uniprotkb:TCS1|uniprotkb:TRT|uniprotkb:Telomerase catalytic subunit|uniprotkb:HEST2|uniprotkb:Telomerase-associated protein 2	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0416"(fluorescence microscopy)	Oh et al. (2009)	pubmed:19567472|imex:IM-22113	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:1332"(bhf-ucl)	intact:EBI-8761626|intact:EBI-8761436	intact-miscore:0.46269515
intact:EBI-303992	intact:EBI-1772203	uniprotkb:P29590-1	uniprotkb:O14746	psi-mi:p29590-1|psi-mi:PML|uniprotkb:PML|uniprotkb:MYL|uniprotkb:RNF71|uniprotkb:TRIM19|uniprotkb:RING finger protein 71|uniprotkb:Tripartite motif-containing protein 19|uniprotkb:PML-I|uniprotkb:TRIM19alpha|uniprotkb:Promyelocytic leukemia protein|uniprotkb:PP8675	psi-mi:tert_human|psi-mi:TERT|uniprotkb:O14783|uniprotkb:Q2XS35|uniprotkb:Q8N6C3|uniprotkb:Q8NG46|uniprotkb:Q8NG38|uniprotkb:TERT|uniprotkb:EST2|uniprotkb:TCS1|uniprotkb:TRT|uniprotkb:Telomerase catalytic subunit|uniprotkb:HEST2|uniprotkb:Telomerase-associated protein 2	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0416"(fluorescence microscopy)	Oh et al. (2009)	pubmed:19567472|imex:IM-22113	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:1332"(bhf-ucl)	intact:EBI-8761618|intact:EBI-8761261	intact-miscore:0.46269515
